year,annual_edition,category,artist,song_or_album,winner,url
2024,67,Best Rock Album,,Dark Matter,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,,No Name,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,The Rolling Stones,Hackney Diamonds,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Song,"Dan Auerbach, Patrick Carney, Beck Hansen & Daniel Nakamura, songwriters (The Black Keys)",Beautiful People (Stay High),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Song,"Jeff Ament, Matt Cameron, Stone Gossard, Mike McCready, Eddie Vedder & Andrew Watt, songwriters (Pearl Jam)",Dark Matter,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Song,"Billie Joe Armstrong, Mike Dirnt & Tré Cool, songwriters (Green Day)",Dilemma,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Performance,,Saturn,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Performance,Muni Long,Made For Me (Live On BET),True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Album,,Wild God,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Album,,Charm,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Album,,The Collective,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Album,,What Now,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Album,St. Vincent,All Born Screaming,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Performance,,Neon Pill,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Performance,,Song Of The Lake,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Performance,,Starburster,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Performance,,BYE BYE,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Alternative Music Performance,St. Vincent,Flea,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Progressive R&B Album,,Crash,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Progressive R&B Album,NxWorries (Anderson .Paak & Knxwledge),Why Lawd?,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Song,"Diovanna Frazier, Alex Goldblatt, Kehlani Parrish, Khris Riddick-Tynes & Daniel Upchurch, songwriters (Kehlani)",After Hours,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Song,"Ronald Banful & Temilade Openiyi, songwriters (Tems)",Burning,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Song,"Sara Diamond, Sydney Floyd, Marisela Jackson, Courtney Jones, Carl McCormick & Kelvin Wooten, songwriters (Coco Jones)",Here We Go (Uh Oh),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Song,"Jeff Gitelman, Kareen Lomax, Priscilla Renea & Kevin Theodore, songwriters (Muni Long)",Ruined Me,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Song,"""Saturn""",Saturn,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Traditional R&B Performance,,Wet,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Traditional R&B Performance,,Can I Have This Groove,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Traditional R&B Performance,,No Lie,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Traditional R&B Performance,,Make Me Forget,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Traditional R&B Performance,Lucky Daye,That's You,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Performance,,Guidance,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Performance,,Residuals,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best R&B Performance,,Here We Go (Uh Oh),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Progressive R&B Album,,Bando Stone And The New World,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Progressive R&B Album,,En Route,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Melodic Rap Performance,,SPAGHETTII,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Melodic Rap Performance,,We Still Don't Trust You,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Melodic Rap Performance,,Big Mama,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Melodic Rap Performance,Rapsody Featuring Erykah Badu,3:AM,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,Enough (Miami),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,When The Sun Shines Again,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,NISSAN ALTIMA,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,Houdini,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,Like That,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rap Performance,,Yeah Glo!,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
